Text,Sub-task A
"Feminist mean the equal right of women and men , why people take it wrong way",CAG
'toxic' is the new 'sexy' 💪,CAG
"Liquor should be totally banned. Administration and police must be strict and
such actions should be dealt with iron hand. People should be alert and aware.
Bengal is fast becoming hell.",CAG
"who says ,, kabir singh is a ' MASTERPIECE'.
than what you think about these nonsense movies
interstallar
inception
dangal
bahubali",CAG
Politics + Media + Religion + nuclear weapons = destruction,CAG
"@Sam J i think, either you don't know english or you simply don't want to
understand. i clearly said that i love equality and also answered you when you
asked about superiority that i never consider myself above any women or men as
i believe in equality. even though comment like ""these people don't know"",
what is this? God bless you.",CAG
"This Roy lady should not be allowed to enter India ban her she is dirt messing
with true Indians Jaihind",CAG
"Fuckboy isn't good , but a bully isn't either. Skewed feminism is dangerous
and so is toxic masculinity. I totally understand that you have a lot of
hatred for liberals n feminists which is justified coz of what a lot of them
have been propogating but not every idea of feminism is wrong pratik.
Bollywood has a history of showing these things ""cool"", that is my only
problem with these characters. I am all game for negative characters but I
don't like them being glorified, making them look cool. I won't even start
with 4 shots, I didn't even like alia's aggresion in gully boy so it's not one
sided. As much as I enjoy your views on nationalism, our history , I didn't
feel comfortable watching this. 🙏",CAG
I m thinking that u r reviewing a movie or just using it for poltical agenda.,CAG
"One thing is clear. Criminals are not born they are produced through Legal
Terrorism. Any innocent person who has been victimized because of misuse of
law can become this. Law system is needed to be amended, otherwise every new
born in India can be called a cursed child because system. You never know that
kid may suffer due to Legal Terrorism. America has given the guidelines to its
citizens(NRI) that beware of certain things when you are going to India. Look
this is called Human Respect.",CAG
"If films influence societies then Kabir Singh marks the beginning of a dark
society",CAG
"I totally agree on all the points highlighted by u sir, but i would like to
add a point. According to me the movie exhibits why one shouldn't be like
kabir. It unveils how a person looses everything he loves just bcoz of his
attitude and reverts only after slight improvement in hid attitude",CAG
"you spoke my mind very brave and unbiased opinion , many like bollywood t*tti
masala parata ... and they idolize these idiots , without realizing that these
actors are using the sheep crowd oly for money and fame",CAG
Trailer hi jhand tha. Bollywood is garbage except 10 ℅ movies,CAG
Glve the weapon in the hands of girls then see the result,CAG
Politics + Media + Religion + nuclear weapons = destruction,CAG
"It seems you didnt understand ""Kabir Singh"". Also, it looks like you lack
basic knowledge to review a movie. Kabir Singh is a powerful movie. I know it
has got its own faults but nevertheless a very raw movie. Also some points
raised by you are valid where as others are just bullshit. We Indians like to
watch stories of others, especially love stories. If you want to watch real
stories then better stick to news channels,NGC,discovery and documentaries
etc. Kabir Singh is an offbeat manic love story which you cudn't understand.
Watch the movie once more you will get answers to your questions.",CAG
Accorded right bro he has some serious issues with feminism,CAG
is she a lady or some witch?,CAG
"Some people don't like good things don't think about them  
Who speard negative feedback",CAG
"I'm not a feminist...  
I hate Lust Stories, 4 more shots please,De de pyar de,Veere do Wedding...n so
many.  
I also hate Extra Marital, Pre Marital Sex.  
but I really disappointed with that scene  
1.When her father sees them on the terrace.  
2.When she tells their parents that they have done it so many times.  
3.When he explains his Father that they were is their so called ""PRIVATE
SPACE"".  
We are not supposed to do such things in front of our parents not Girls or
Boys... it is same for everyone.",CAG
1.7k dislikes by librandu dogs 😂... Sukooooon.....,CAG
"The writer created a monster character and he is not a good guy at all but the
worst part he was rewarded with a girl",CAG
"[#BestReviewer](http://www.youtube.com/results?search_query=%23BestReviewer)!🔥  
[#Logical](http://www.youtube.com/results?search_query=%23Logical)  
These feminists and liberals are...immature....don't know,why do they go to
watch adult movies when they are not matured.",CAG
"I have watched this movie yesterday i don't feel anything wrong but the way
kabir approaches priti was not good.",CAG
We should never suppress a totally depraved wacko like Arundati!,CAG
"Wow...pratik sir u r analysis really superb...hope more people like u exists
in bollywood critics...fk those paid critics nd pseudo femmies nd commies....",CAG
"I don't know y I think she don't know hw to sing bt I respect poor people n I
don't like attitude",CAG
"What you can’t stand someone trying restart their life. I think you’re fucking
jealous",CAG
"Similarly liberals also should stop bashing everything else. It's a mutual
coexistence.  
And to be true, liberals are hypocrites. We saw liberals silent during Sanju
movie release, now with Kabir Singh they have problems.  
So really can't trust their motive",CAG
@Pratik Borade Lekin Pratik sir I am against glorifying him,CAG
"I want to ask Singer like Sona Mohapatra But tell me one thing, when u sang
""bedardi raja zara paas to aaja"" ...were u singing lulaby? What were u
promoting? I liked the song, nice voice nice beats.. that's it. U must have
put your best to sing the song. And remember ur husband, Mr. Ram Sampath
creating music for Delhi Belly...rember the "" Bhaag Dk bose"" song. What was he
promoting? Shahid Kapoor has acted brilliantly. Praise his acting skills the
same way u took the accolades for ur song. Going by your logic, people who
watched 'Gangs of Wasseypur'..they must have gone on a killing spree...using
filthy language.. smoking weed...",CAG
I think she is mental.,CAG
"Also it depends on the audience how they take the movie. Actor was a freak and
because of that he had to deal with the repercussions but people fail to see
that but condone the dominant behavior of the actor. Also don't count every
feminist in that stupid category. I appreciate the romance but not the madness
after breakup.",CAG
"It's just a movie. Take it as an entertainment material. Don't try to make a
publicity stunt.",CAG
"Sir I truly hated this movie because I really face kabir singh in real life
and face and bear all the consequences .",CAG
"Worst was that despite knowing his drug, drinking and anger problems, his
friend offers his sister for marriage, lol! Apparently friends are more
important than blood relations. That too for friend who anyway treats him like
shit. Any decent brother wouldn't want his sister to marry such a guy.",CAG
"Seems like arundhuti's mother lied to about her father also , I mean whom she
thinks her father 🤣",CAG
This is bullshit,CAG
"This likes short movies inhanse the crimes so cheap india and cheap their
movies",CAG
If you see her face in morning then you can't get food in whole day.,CAG
"And yes movies do affect human behaviour, especially if that human is an
Indian.

Long back there was a case in Australia where a man of Indian descent was
charged for stalking and harassing a woman. He told the court that he learnt
all that from bollywood movies and the court, on finding that bollywood does
portray men and women in such a toxic manner, buried him.

Yes, movies do affect our behaviour.",CAG
"You are right dear... Bollywood shows completely rubbish content. Bollywood is
also responsible for love zihad",CAG
"I want to ask Singer like Sona Mohapatra But tell me one thing, when u sang
""bedardi raja zara paas to aaja"" ...were u singing lulaby? What were u
promoting? I liked the song, nice voice nice beats.. that's it. U must have
put your best to sing the song. And remember ur husband, Mr. Ram Sampath
creating music for Delhi Belly...rember the "" Bhaag Dk bose"" song. What was he
promoting? Shahid Kapoor has acted brilliantly. Praise his acting skills the
same way u took the accolades for ur song. Going by your logic, people who
watched 'Gangs of Wasseypur'..they must have gone on a killing spree...using
filthy language.. smoking weed...",CAG
"@Aspect Kracken we would love to know your opinion about Veere Di wedding. How
many girls became like those 4 from the movie??",CAG
"You're watching the movie in a completely negative way. I get it that it does
have a negative impact, but you're not giving a balanced analysis.",CAG
Homosex is a hell,CAG
"Everyone should go and watch this film . It is the big slap on these useless
people.",CAG
"Yes correct. North india is the hell on earth. South India is heaven on earth.
Proud to be a south Indian. Hate north india",CAG
1.7k dislikes by librandu dogs 😂... Sukooooon.....,CAG
"Arundhati Roy's comments are based on contradictory statement made by Prime
Minister and his Home Minister. Sourabh, Ms. Roy is neither Prime Minister of
India nor Home Minister.  
People of this country are loosing their faith in this Modi government since
their decision are based on creating confusion in our lives. In case, you are
a true journalist, you should ask questions to the people sitting on the
highest position such as PM, HM or CM of UP who has no faith in democratical
value of the constitution.",CAG
Being kabir singh is chutiya in real life,CAG
"Completely honest review. We need such honest people in today's generation who
can show us how these industries are brainwashing the youth. Twisting the
emotions and feelings just to propagate their sick agendas, and make more
money. Humanity is at stake. We need people like you to keep the youth on
track. Well done sir.",CAG
"People are illeterate.
They actually like mental and physical abuse and violenece against women.",CAG
"Really... You tried to analyze the cinematography of the movie Joker and so
much sympathy on the character... if someone like a depressed person got
inspired by this movie and kills a person then what?.... Stop this overaction
and try to watch Kabir Singh from technical point of view like what u did for
Joker.. don't give lectures on how the character should behave in the movie..
like Kabir took drugs and left Preeti so he is not responsible.. shut the F..
up . Sandeep Vanga is going to direct a crime movie.. prepare some points on
how the characters should behave in that upcoming movie and send it to
Sandeep... stupid...",CAG
Rubbish video....It's totally wrong,CAG
"First of all we have to watch movie for entertainment only..every time we
can’t judge movie if we are not getting anything from it(i am talking about
individual)..i am agree with Shwetabh bhai for some opinion but Kabir Singh
has lots of other elements to analyse..Basically movie main character ke point
of view se dikhayi hai aur movie dekh ke hum apana dimag kharab kar rahe then
i am sorry hum movie aur real life ko samaz nhi rahe hai..you have to be very
practical about yourself,society,movie and reviews like this..end of the day
life money pe chalti hai not these movie..again person to person differ karta
hai..it’s not about right or wrong but different perception only.",CAG
"Lmao 🤣🤣🤣 Bhai World doesn't revolve around these bunch of fools, the best
thing we could do is IGNORE and PROGRESS, all they want is attention! if we
don't give that THEY'LL CRY . let's promote and practice our culture ,
sanathana dharmam full on! we'll progress. you know what watch the some of the
best Telugu films which is filled with our culture, and few movies are old but
make reviews on this people will watch and admire it and i'm sure you'll enjoy
it ,  
  
  
\- SHANKARA BARANAM,  
-SAGARA SANGAMAM,   
-GODAVARI, KHALEJA,   
\- SWATHI MUTYAM",CAG
Respect others..,CAG
Being kabir singh is chutiya in real life,CAG
"This is the result of a false dowry case . Andhra Pradesh in India is the
state that has the dubious distinction of the worst abusers of the 498a . Most
false cases are registered on Andhra Pradesh .",CAG
"s this is what happen, if 498a is not controlled. Man this nation is going in
path of falling in pit of shit. The young Man Lifes are in risk because of
498a. Beware before getting married. marry ""good women"" not ""Devil"" because
Devil will able to change face anything anywhere.",CAG
"Whoever made this video, will take birth as transgender in his next live. I
wish.",CAG
"And i became an anti Feminist 😂✌🏻  
The way Feminists attacked this movie made me MAD",CAG
"First stop aborting and killing daughters before birth and stop throughing
them in dustbins then you will have many people for trying",CAG
"They killed husbands parents....they destroyed life of this man.. so they have
to be punished like this totally agree",CAG
"This is why i don't watch bollywood... totally garbage... Hollywood more
better than bollywood cause they gives us matrix Interstellar type solid movie
.",CAG
"l g b t is not gud for anyone because the meke a very bad desses Wich harmful
for non LGBT its too dangerous for comen people",CAG
Ranu mandal is very bad woman,CAG
Best reply to sucharita tyagi the fake feminist,CAG
"Love you Prateek sir. We needed this reply for these Feminists.  
Respect towards you has increased.",CAG
"@Pratik Borade atleast give some genuine reference, self certified video ka
kya karenge??? And conservative means who embrace culture of nation along with
flaws. Not just with political propaganda of Perfectionism, as in this
universe not is perfect.",CAG
OMG!!! 2k dislikes from designer liberals and feminazis 🤣🤣,CAG
"after 75 years of loot, someone is trying to do something good. it sems doing
good for the country is unforgivable, specifically if its modi. who is this
arundhati roy, what is she? what makes her think that she is an activist?
shame shame.",CAG
"To be honest. Your thinking is your own opinion.. it does not mean it is
fact/reality. though i respect your opinion i think u shuld also learn to
respect other opinions as well.",CAG
"This likes short movies inhanse the crimes so cheap india and cheap their
movies",CAG
"Kabir Singh' inspired man kills girl
<http://way2.co/MjY4MjI5NQ==/81>
See this how a man is so inspired by the ""Kabir Singh"" personality.",CAG
Trailer hi jhand tha. Bollywood is garbage except 10 ℅ movies,CAG
Bad message and a bad film,CAG
Kunfu comming from china and kutta comming from Pakistan..,CAG
Shame. Such a shame on your part.,CAG
"Sir i respect u very much. But i am here for kabir singh review not for
liberals people review. Plz review the movie. Thank u.",CAG
@ajay singh By using this trick they are trying to divide us..,CAG
"it's been told by many of the intellectual if you really wanted to be rather
than abusing movie take a movement and aware people even in USA and Korean
Film industry where the content is more developed movies are the same some
high content we use to see and low content we don't even talk about. So called
film making ko buckchodi bolne se behtar hai start movement with your own
followers. Else you were so irritating in this video.

Thanks",CAG
😂😂😂 Who made her advocate of supreme court,CAG
Over Smart Mad woman,CAG
"The basic ideology behind Liberals and Feminists is not wrong but a lot of the
people who consider themselves representatives of these ideas are in wrong.
Everyone always remembers that",CAG
"Liberal has rights, others have wrong ???????😢",CAG
Arundhati Roy is a sex crazed woman who is just a Despo.,CAG
Attitude and attitude,CAG
Indians are obsessed with movies,CAG
"Completely honest review. We need such honest people in today's generation who
can show us how these industries are brainwashing the youth. Twisting the
emotions and feelings just to propagate their sick agendas, and make more
money. Humanity is at stake. We need people like you to keep the youth on
track. Well done sir.",CAG
I think you are very depressed. You don’t understand ‘consent’,CAG
"I am a man but I am a lesbian by heart and I was born like that. So, any
lesbian girl, who'll be interested?",CAG
We should never suppress a totally depraved wacko like Arundati!,CAG
"Liquor should be totally banned. Administration and police must be strict and
such actions should be dealt with iron hand. People should be alert and aware.
Bengal is fast becoming hell.",CAG
Stupid story 😑😡,CAG
"This film about gay people is rubbish. How could you come up with a horrific
video like this. Shame on you.",CAG
"If you still think Bollywood is GARBAGE then see the trailer called
""ADVENTURES OF SRIMANARAYANA""",CAG
Bollywood is a crap.. nepotism is on it's peak...see sensible things please,CAG
"They portraying shahid as a man who drinks all day and making him look like as
cool as possible , dude if u are going go drink that much u will look like a
beggar or most likely die within a week",CAG
"when i saw this movie on the first day a book my air ticket for Hyderabad,
when i came here i found a pic of her with her friend that is called he is my
best friend only and we didn't do anything. My life fukcs me daily here and
after 3months of the incident she broke up with me.",CAG
OMG!!! 2k dislikes from designer liberals and feminazis 🤣🤣,CAG
All it takes is one Malayali woman to bring down the entire nation.,CAG
"s this is what happen, if 498a is not controlled. Man this nation is going in
path of falling in pit of shit. The young Man Lifes are in risk because of
498a. Beware before getting married. marry ""good women"" not ""Devil"" because
Devil will able to change face anything anywhere.",CAG
Yes so ppl like u can take dowry with an open hand.,CAG
A-hole,CAG
'toxic' is the new 'sexy' 💪,CAG
I also hated ths movie,CAG
"You should research on what is feminism and feminazi rather than spreading
your illogical views.",CAG
"This likes short movies inhanse the crimes so cheap india and cheap their
movies",CAG
"Typical Feminist are only 20 percent....why to give them so much
importance..... You are Glorifying them don't you think Pratik..... can't we
ignore them... Because they are not representing India.......",CAG
"bro i am watching yo first time and you wont beleave that you was looking like
jaani dushman villan",CAG
"totally wrong story...i doesn't happens..he shouldn't killed his wife...He has
to tell his wife everything about him rather than to do this crime...i think a
real gay couples never do [this.It](http://this.it/) was just imagine story
that doesn't exist nd can't happens in real [life.so](http://life.so/) i don't
like this movie.. That's why l'm disliking this movie.",CAG
We should never suppress a totally depraved wacko like Arundati!,CAG
Blind law = Foolish law,CAG
1.7k dislikes by librandu dogs 😂... Sukooooon.....,CAG
"Arundhati Roy has biggest bowls ,,,,,,,",CAG
"Arundhati Roy has biggest bowls ,,,,,,,",CAG
"Everything you said is accurate and 100% correct except we Indians still
haven’t developed as a society where people can genuinely practice your views.
2-5 year old girls are getting raped in this country. Colleges are filled with
10-20 goons. There isn’t anything wrong with the movie, you and I know what
message our youngsters gonna interpret. I have two friends who committed
suicide for love in college. “Tere Naam” is no distant memory either",CAG
**Korean dramas are way better and logical than Kabir singh**,CAG
"Hello Pratik,  
You have said in multiple videos about the importance of having an opinion and
the right to express that. Now an opinion depends on different thoughts,
situations,beliefs,background,relationships,experiences etc on a very personal
level. Difference on every aspect of life is the beautiful essence of the very
existence of human being. I, personally agree with many of your thoughts but
at the same time dont agree with some opinions. My question is why is it so
important to put a tag or lebelize the ones who have different thoughts or
dont agree with yours point of view? Why does everybody (who dont share the
opinions as yours) have to be a 'feminazi', 'liberal' etc? Dont you think we
should be respectful and polite to viewers ( more so because we are all
educated and well read people) in a public domain? Aggression is good when
applied cleverly and certainly not in unidimensional rage.  
Where is the Pratik who used to review The Apu Trilogy with love, care and
utmost sincere humility?",CAG
"Looks like a ghost, real conjuring",CAG
"Kabir Singh was a well made movie in terms of all crafts. Principles and art
shouldn't be seen together dumbos.",CAG
I disageee with you on this one..,CAG
"I am a doctor and I have come across many Homosexual gays as my patients...
All those are having multiple partners... I could not find a one man guy up
till now... So it won't be a good decision to include them in Indian army...
Otherwise those gays and lesbians will find only their new partners there and
it will destroy the descipline of Indian army...",CAG
**Korean dramas are way better and logical than Kabir singh**,CAG
"Brother ,you're a Savior for this generation",CAG
"@Dushant Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what
the director and the story telling has to offer.... it's about understanding
the Movie not Making all the things shown in the movie to the heart.",CAG
"I can relate this to some extent with us. I don't understand the motive of
this type of girl and their parents. They themselves are parents how they can
be like this....? How they inspire their kids to torture other fr no reason.
What is the purpose of their life???? It's beyond my understanding.",CAG
"And yes movies do affect human behaviour, especially if that human is an
Indian.

Long back there was a case in Australia where a man of Indian descent was
charged for stalking and harassing a woman. He told the court that he learnt
all that from bollywood movies and the court, on finding that bollywood does
portray men and women in such a toxic manner, buried him.

Yes, movies do affect our behaviour.",CAG
Emotions must be analysed. Or you're literally the slave of your emotions.,CAG
Glve the weapon in the hands of girls then see the result,CAG
"@Manikarnika K concentrate on basic issues like jobs,medical facilities,
education, GDP not on religious discrimination",CAG
"The writer created a monster character and he is not a good guy at all but the
worst part he was rewarded with a girl",CAG
"I want to ask Singer like Sona Mohapatra But tell me one thing, when u sang
""bedardi raja zara paas to aaja"" ...were u singing lulaby? What were u
promoting? I liked the song, nice voice nice beats.. that's it. U must have
put your best to sing the song. And remember ur husband, Mr. Ram Sampath
creating music for Delhi Belly...rember the "" Bhaag Dk bose"" song. What was he
promoting? Shahid Kapoor has acted brilliantly. Praise his acting skills the
same way u took the accolades for ur song. Going by your logic, people who
watched 'Gangs of Wasseypur'..they must have gone on a killing spree...using
filthy language.. smoking weed...",CAG
"Every one in the world got flaws and who argues against is an hypocrite just
like you asshole. An movies are based on how engaged are you watching the
story and characters response to situation, not judging their morals... How
dumb are you? I really thought this is a good channel.",CAG
"I am a man but I am a lesbian by heart and I was born like that. So, any
lesbian girl, who'll be interested?",CAG
"Most non sense review . Wrong conception from movie and you.  
Really surprising coz I liked it other review videos",CAG
"Yeah sir Ur right ,even I came across some feminist liberal YouTube channels.
Any one who watched Arjun Reddy or Kabir Singh the director tried to keep it
raw .He clearly didn't try to portray an ideal hero ,the hero in this movie
has several flaw and that's the beauty of this movie. Liberal can neither win
election nor they can influence by their biased review . public sab janti hai😁",CAG
"I congratulate the brave husband for taking such a brave act. I am also the
victim of 498a. I cant take this step for the sake of my son who is under her
unlawful custody. Since one and half year I am suffering from this agony. I
will fight till the end but not compromise.",CAG
"Thats true 😕 most of the indians are a bunch of emotional illiterates
They fall in love with a random foreigner reacting on shitty bollywood movies
😂😂
And a group of 3 villagers are trending #1 on youtube since last 3 days by the
grace of these bloody indians 👎👎",CAG
"Totally waste of time.... This is not a movie review, not at all.",CAG
"To be honest. Your thinking is your own opinion.. it does not mean it is
fact/reality. though i respect your opinion i think u shuld also learn to
respect other opinions as well.",CAG
"I saw the movie last week with my family and considered it a complete waste of
my time. The movie had no story, the acting was horrendous, and in the end it
promoted a negative message that your can completely destroy your life for one
person and still come out a winner. Utter bakwas. I give it 1/10 at best.",CAG
"Where were these feminists when a web series named 'Four More Shots' had a
dialogue that 'Men are like Condoms'..",CAG
"Bro there are countless people living are not only uneducated they are
literally illiterate, but still they know how to respect people especially who
have helped them. So I hope u got it.",CAG
"Where is review  
You are totally correct but talk about movie,acting and direction",CAG
"I think ye banda apne views badhane k liye aise reviews deta hai.. I mean all
the time he links everything to hindutva and feminism",CAG
"Jayaram Akkina  
I was about to write the same thing, imagine the same story written by someone
who is from Bollywood director, then it would be considered cult classic  
I am not saying Arjun Reddy/Kabir Singh is cult, but it was far better than
many movies called as hits.",CAG
"Feminist are not bothered by water crisis, but bothered by Kabir Singh!",CAG
I hate people who abuse Lgbt,CAG
"We all knew that the movie was a little over the top. The main issue was the
selective outrage from the Feminist brigade. They critise certain movies that
potray male lead characters as Dominant and vile. But at the same time they
encourage toxic female behaviours in movies . Who treats her male counterparts
as crap shit  
  
We somehow had to defend Kabir Singh  
There was no other way around",CAG
Back to railway station,CAG
"Tit for tat. If u destroy someone’s present & future u will have to bear the
brunt. Sec 498A is a double edged sword made with good intention but being
used in bad intentions.",CAG
@ajay singh By using this trick they are trying to divide us..,CAG
"We all knew that the movie was a little over the top. The main issue was the
selective outrage from the Feminist brigade. They critise certain movies that
potray male lead characters as Dominant and vile. But at the same time they
encourage toxic female behaviours in movies . Who treats her male counterparts
as crap shit  
  
We somehow had to defend Kabir Singh  
There was no other way around",CAG
This review is shit,CAG
Gay sex should be banned..........,CAG
"I keep stay away from such movies
[13:26](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=13m26s) best ^_^",CAG
RSS agenda is to demolished opposite options,CAG
"There's a reason why actors are called as ""heroes"" In India. Idk what people
are going to learn from such a terrible character.",CAG
@Nil The Captain War was terrible generic garbage,CAG
😂😂😂 Who made her advocate of supreme court,CAG
"Yes u are right...but 90 % of men supports women without knowing anything
about and these men do not know what are happening on men by women all over
the country....",CAG
Arokum mohila very bed,CAG
I just really really hate THIS GUY,CAG
"Three words for those liberals who think they can change my mind according to
their view  
""I Don't Care""  
Because I don't permit anyone to impose their thought on me.",CAG
"Liberals? Dude u embarrassed yourself in this video. I haven't seen the movie
so idk if this movie good. But u have embarrassed yourself seriously so dont
talk about the topics you dont know anything about. I am not feminist",CAG
"Awesome tha sir loved it  
these so called famists are ruining the value of relationship and meaning of
commitment",CAG
"How dumb neha gupta is !who is saying u can't arrest but only in genuine cases
not otherwise",CAG
"who says ,, kabir singh is a ' MASTERPIECE'.
than what you think about these nonsense movies
interstallar
inception
dangal
bahubali",CAG
"true, Kabir Singh is such a trash movie......I truly judge everyone who likes
this movie",CAG
"I just hate this movie though I have no hatred or doubt about Shahid acting .
He really nailed his role . But this kind of movie is not made for India.
Bollywood is producing nothing just crap movies with a small pinch of 'love' .
They need to grow up .
Even Indians need to grow up too.",CAG
"Krishan K. Singh in this movie his character was not at all promoted. His
father stopped speaking to him, grandmother didn’t want to see him this way.
Only his friend and brother wanted to save him from his distructive life.
Hospital was against him and he took responsibility for his drinking and told
the truth so I don’t know what you mean by promoting his behavior. This a
movie and it is different types of character in the world and that’s what they
are trying to show. Story of a broken man that needs saving. In the end he
takes responsibility.",CAG
"KK no problem because the population is aldready 130 crore. If this country
can reduce it further by LGBT a little bit without trouble what is the
problem?😂😂",CAG
"@Ekta Saikia First of all if my words were harsh then accept my apologies...i
am a researcher in engineering by profession and i just believe in the facts
and technical reasons only. so, the behavior of any male is completely depends
on how his parents raise him and what he's been taught at home ,nothing else
can change. Once opinion specially films if we teach everyone that its not
real and its just for fun and imagination.  
Please don't feel so offensive because most of the mans are very good even you
might have friends in boys on whom you can trust. one more thing i like iron
man so, what does it mean...? should i start jumping from buildings to follow
him?  
its about our born brought up lessons madam from which we are quite able to
decide what to learn and what not to...  
by the way if some guy is bad then nothing can be done because he will sees
the negativity around and will do wrong things only, for such persons, jail is
right place.  
[#please](http://www.youtube.com/results?search_query=%23please) understand my
point of view.",CAG
Hate ads between video... 😏,CAG
"The issue is some audiences eg Europe do not celebrity worship the actor who
played SS nazi in Schindler list. Unlike Indian audience that hero worship
ranvir Singh as khilji or terrorist drug addict ranbir as sanju. Now this vile
misogynist rapist druggged alcoholic in kabir Singh. Until a major audience
and culture treat women equally. These characters must be abused in reviews",OAG
"First Start addressing this Church Bit*h as SUSSANAH which is her REAL NAME
instead of using apeshit names like Arundhati Roy  
She is a CHRISTIAN  
Same like  
Usage of D Raja for Daniel Raja of CPI  
Presstitute media helps them in covering their REAL IDENTITY",OAG
"Always have debate on chutiya topics... Discussing with some more chutiyaas
... U don't have basic understanding... U show ur lack of understanding evey
night...  
Ek randi khana kyun nai khol lete tum raand log...",OAG
"You,re a bitch",OAG
bitches spoil a men life,OAG
"Yess you are right. We ""feminist"" have problems.  
  
how can you justify that anyone come to your college and kiss you without your
consent. And many more things  
  
I know people with orthodox mentality according to whom this patirachy society
is best what about female rights.  
Sorry but disappointed 😔",OAG
"I read a blog post of India Today they were trying to defame the film by
giving bad reviews. They even called Arjun Reddy B grade film.. That's really
disgusting..",OAG
"Kabir singh is synonymous to every rickshawallah who drink and and beat their
wife , are sex addicts , and sulk when their wives leave them. Wonder why
people dont make movies on them",OAG
"Honestly speaking Japanese anime are motivating and gives me life lessons than
this garbage bollywood movies",OAG
I think feminists are lesbians,OAG
Please mind your words. Whatever you are speaking is shit.,OAG
this girl should be raped!,OAG
Urban naxal spotted,OAG
"She never had a good parents. The got divorced when she was under 5 years of
age. This will tell what sort of lady was she the foxy face. She is third
rate, stupid educated illiterate lady.",OAG
"You are too novice to believe that kabir didn't have physical relationships
with others than prity  
And why does that housemaid or that nurse run away?",OAG
I hate ranu,OAG
true feminist is Cancer,OAG
"@Be Positive You are a Man-hater yourself. It is self-evident. I pity on the
men around you.",OAG
"Throw her out of nation . She is making a mockery of the whole bill. She
should not be heard Arundati we will call Kumphoo Kurt’s or Ranga bills . She
is sit . Get out of India . jail hind 🙏🏻🇮🇳",OAG
throw her in jail,OAG
Fuck the leberal & feminist,OAG
"@R R R just like bollywood, you also copy what has been said before, bitch!",OAG
she is best magi.......right now,OAG
"All these urban naxaulites like Arundhati Roy have citizenship in other
countries, My hindu brothers, where will u go? Fir shake of money they will
sell us! What this Prustitute Arundhati Roy did for the nation's economy,
science, technology, envirniment, poor...nothing!",OAG
Feminists​ and Liberals are curse to humanity,OAG
Message to all the bitches who think they can get away with miss use of 498a.,OAG
U always talk same shit,OAG
"Sucharita Tyagi is the biggest hypocrite she loved swara Bhaskar being a rebel
in veere di wedding",OAG
"U lost the huge respect From my side...  
Can't agree with you sorry....just think this person treats your daughter with
the same abusive behaviour to show his masculinity & madness..it doesn't
justify someone's illogical rudeness & forcefully making relationship bczz he
wants that girl..woww...& U r saying is this really good?? U can't justify
this character dear..bcz if u like ""KABUR SINGH "" Character then may b u also
support the boyfriend/ husband who does domestic violence infct may b now u r
starting to support the people who forcefully making relationship with girls
bcz he likes her..really??? Today reaalllly surprised to see ur thoughts..U wr
my favourite reviewer..but today u lost respect from me.If any girl will be in
the same situation in real life in the college then That Kabir singh will be
in the jail..  
Worst movie..WORST CHARACTER IN BOLLYWOOD - KABIR SINGH.👎👎👎👎",OAG
"She is social pollutant  
She should be arrested as quick as possible",OAG
"Kabir singh is synonymous to every rickshawallah who drink and and beat their
wife , are sex addicts , and sulk when their wives leave them. Wonder why
people dont make movies on them",OAG
Really Really appreciate. fuck the police and judges too,OAG
"But doesn't Arundhati Roy looks like a dog, barks like a dog and acts like a
dog? So isn't it obvious that she wants to be a kung fu dog and so advises
people to call themselves one?",OAG
Kabir Singh fucking story,OAG
Shaurya Arya I will not fuck you and homosexual,OAG
Whenever masculinity is shown these librandoos will cry.,OAG
"All most all movies promote feminazism. Even in English movies. Movies have
become indoctrination tools to hypnotize masses to become slave to women.
These are unhealthy and destructive addiction",OAG
Having sex before getting married how could this be correct???,OAG
"First of all u need to understand the story line...I feel u can't stand that
south directors or actors are doing so well ...first check wat shit u are
saying ..go have coffee n chill..",OAG
"Nobody gave a shit about alia's violent behavior in gully boy...  
But here kabir's behavior marked him as possessive..😛
[#Feminist](http://www.youtube.com/results?search_query=%23Feminist) didis and
bhaiyas.. Tb kaha the??",OAG
"Nupur even though ur point is right ur so bloody irritating. Shut up listen
and then speak",OAG
"@Abinash Sarma I DON'T LIKE LGBTQ AND I DON'T SUPPORT THEM  
THIS IS MY VIEW MY SPEECH  
I LIVE IN A DEMOCRACY  
SO I WANT TO MAKE THESE PEOPLE TO LEAVE THE COUNTRY  
  
  
BLOODY IDIOTS",OAG
"Stop it u bootlicker of bjp... Bhainchod aur kitna chaaatogey tum log bjp
ki... Arnab Goswami is the most dirtiest blot of India...  
Bhainchod... Shouting like a mad dog with four other dogs in ur show doesn't
make u patriot....  
Loudey u r just a pimp cum anchor.... U coward if u have guts then go out n
take the interview of the students who r protesting....  
Inviting four to five bhakts every night n vomits ur shits from ur mouth
doesn't make u journalist",OAG
"What's even more disgusting is that not 1 INDIAN WOMAN has the courage to post
a comment against this....probably they fear the backlash....WHAT A SHAME ON
SOCIETY!!!!! Fuck off you BITCHES!!!!!!!!!!!!!!!!!!!!!!!",OAG
She is randi,OAG
conservatives fuck you all,OAG
Character less this issue women,OAG
Stop being gay,OAG
😠 disgusting,OAG
She is a pig,OAG
