Text,Sub-task B
"i dont know much about homosexuals, but i definitely would say that
transgenders should not be allowed.",GEN
"Fuckboy isn't good , but a bully isn't either. Skewed feminism is dangerous
and so is toxic masculinity. I totally understand that you have a lot of
hatred for liberals n feminists which is justified coz of what a lot of them
have been propogating but not every idea of feminism is wrong pratik.
Bollywood has a history of showing these things ""cool"", that is my only
problem with these characters. I am all game for negative characters but I
don't like them being glorified, making them look cool. I won't even start
with 4 shots, I didn't even like alia's aggresion in gully boy so it's not one
sided. As much as I enjoy your views on nationalism, our history , I didn't
feel comfortable watching this. 🙏",GEN
"Arundhati Roy is a pros* ***** of ISI Pakistani generals and Hafiz Sayeed...
she's getting well paid...",GEN
"jitne wrong kah rhe hn wo sare bi sexual hn.because its prove that all
homophofic are always homosexual",GEN
"lesbian and gay...just fuck world...india go over smart fuck...india copy
usa..and main devil usa...fuck World 😠",GEN
ARNAB IS NOT EVEN WORTHY TO BE CALLED A KUTTA!!!! ITS AN INSULT TO A DOG!!!!!!,GEN
"She should be arrested immediately. Payal rohtagi was arrested when she was
just stating facts and she ( arundhati bitch a big chinaal) is provoking
people and abusing our leader. She is challenging to us. And what we are
doing.",GEN
Keep away from that mad aunty.,GEN
1.7k dislikes by librandu dogs 😂... Sukooooon.....,GEN
"Who is Arundhati Roy?  
She is a kutiya a pagal kutiya.  
A randi a big randi.",GEN
"allowing homosexuals in army is like playing with poisonous snakes , u might
not know when they will bite u. ( I believe if homosexuals allowed in army
they will become enemies of India.)",GEN
Arundhati is an all time bi**h,GEN
Actually she was a prostitute before being a singer.,GEN
"this man is fully confused, he really need a girlfriend, and he is telling us
by mutual consent he did not mind if his girlfriend get fucked by someone
else??? Grow up man and change your THARKI T-Shirt?",GEN
its not good i think its all dimaghi keeda being a gay or lesbian..,GEN
gay MF,GEN
"she was sleeping with ranga and billa and that swara baskhar was fingerring
herself watching her😂😂😂",GEN
The realm Of homosexual group can benefit all the regiment...,GEN
"I am a doctor and I have come across many Homosexual gays as my patients...
All those are having multiple partners... I could not find a one man guy up
till now... So it won't be a good decision to include them in Indian army...
Otherwise those gays and lesbians will find only their new partners there and
it will destroy the descipline of Indian army...",GEN
conservatives fuck you all,GEN
"No one is gay by birth.  
They are just mad.  
Send them to mental asylum.",GEN
"As per Arundhati she should give her name as Kung Fu Kutiya and she should
keep practicing balancing tooth brushes on her nipples (god of small things),
that is all she is worth for. They (Roy, Kavita Krishnan, Shehla Rashid)
should rent apartments in Hira Mandi).",GEN
"Men and women are created for each other.Homosexuality is
[wrong.It](http://wrong.it/) is considered a sin in many religions.Delhi is
not the only place in the country.I am sure rest of the Indians dont support
homosexuality.Those people in the video probably supported coz camera is
ON!!Why did god create opposite gender for every living creature on earth?",GEN
"It should not be allowed  
As in army there are army there are amny activities  
Where they have to live in the camps with no connection with there base camps  
Like north east or some parts of j and k .  
It homosexuality is allowed it will become more thn a disaster to our
prestigious army.  
As those people will also provoke others to indulge in the same ...  
Jai hind..",GEN
Homosex is a hell,GEN
"Well why can't u grasp that a guy can live however he wants, I myself would
wear t-shirts & shorts to jobs instead of formal shirts as we can do what's
comfortable & why can't a guy be topper? I pump & dump girls with consent yet
never got less than 75% ever, well in those days seniors were respected like
teachers & could do whatever they wanted with juniors so that's why juniors
were treated like that in this movie",GEN
Oooooooooo No....🙆🏾‍♂️🙆🏽‍♂️🙆🏾‍♂️🙆🏽‍♂️🙆🏾‍♂️🙆🏽‍♂️🙆🏾‍♂️🙆🏽‍♂️,GEN
That moron who said **bevkoof hai Jo support kartay hai** screw you 🤯😠,GEN
Being gay is wrong and it is a choice 🤣👍,GEN
"@Crazy Boy kindly don't get hurt... But read my words what I said.. I said I
have come across those gays who have multiple sexual partners.. it's not going
to be good.. Single sexual partner will be okay... But what about those who
are keeping multiple sexual partners... HIV/HBsAg and Sexually transmitted
diseases are more common in these people.. I have one of my patient who had
suffered from Bacterial meningitis and then had so many problems in his life.
I adore your talent that u have cracked all these exams.. but being a doctor
doesn't means that he is not a human being... I live in an Indian society and
see what happening in the society...",GEN
Are you born from a pig 's pichwada......mc,GEN
"👍the thing on feminism is true coz...though being a girl I can feel that the
motive of feminism is more than to form a reverse world ..not any equality
...ki if boys rape ..we will too do same except fir literal ""equality""",GEN
"It should not be allowed  
As in army there are army there are amny activities  
Where they have to live in the camps with no connection with there base camps  
Like north east or some parts of j and k .  
It homosexuality is allowed it will become more thn a disaster to our
prestigious army.  
As those people will also provoke others to indulge in the same ...  
Jai hind..",GEN
Homosexuality is against nature. Thats all!,GEN
"Feminists are characterless inhuman insane creatures who don’t deserve in
society.",GEN
154 Gaylords disliked the video....,GEN
"Don't spew negativity no money no money, u yourself saying iam poor thats what
the 90%indian mentality is all about.u spend money on film like saahoo and
chanting no money... What the fuck, u have no idea where to spent money as u r
student.. i would suggest freely be patient wait for the review and rating
then go and watch...tosser",GEN
"Feminists are characterless inhuman insane creatures who don’t deserve in
society.",GEN
"Always have debate on chutiya topics... Discussing with some more chutiyaas
... U don't have basic understanding... U show ur lack of understanding evey
night...  
Ek randi khana kyun nai khol lete tum raand log...",GEN
ARNAB IS NOT EVEN WORTHY TO BE CALLED A KUTTA!!!! ITS AN INSULT TO A DOG!!!!!!,GEN
Message to all the bitches who think they can get away with miss use of 498a.,GEN
Fack bong guy,GEN
"India is officially now a ""gaandu"" country",GEN
"Well why can't u grasp that a guy can live however he wants, I myself would
wear t-shirts & shorts to jobs instead of formal shirts as we can do what's
comfortable & why can't a guy be topper? I pump & dump girls with consent yet
never got less than 75% ever, well in those days seniors were respected like
teachers & could do whatever they wanted with juniors so that's why juniors
were treated like that in this movie",GEN
"god bless jhangir , bahut badiya kiya , this is the result of injustice and
the bastard indian bitches should realise this",GEN
She is a dangerous element for our country'.kindly expose her.,GEN
Saw the. Entire review and she is gandu feminist,GEN
"Who is Arundhati Roy?  
She is a kutiya a pagal kutiya.  
A randi a big randi.",GEN
Fuck the leberal & feminist,GEN
130 dislikes... 130 liberGandus,GEN
ARNAB IS NOT EVEN WORTHY TO BE CALLED A KUTTA!!!! ITS AN INSULT TO A DOG!!!!!!,GEN
Army need man not LGBT,GEN
RAENDIE YOU EDAT,GEN
"It’s all very well about gay rights and gay marriage but where the problem
lies is there access to kids is coming closer and that’s not right. I’m not
racist against blacks or gays but where I do feel strongly is they should not
be left around kids. It’s just my opinion and I don’t think I’m too far wrong.",GEN
Perfect perfect perfect answer for those m.....fucker,GEN
"Lol....gaav walo Jaisi shakal walo se puchoge what can you expect ....they
can't see beyond their black penises...!!",GEN
"Wonder who those chootiyas are, clapping that India's electoral term is 4
years. RangaBilla? How about the name Kutiya to her?",GEN
Sexy boy munna 01831572786,GEN
"She looks like a fox from a drought affected area............she is bitch not
brought up by a good parents",GEN
"Stop it u bootlicker of bjp... Bhainchod aur kitna chaaatogey tum log bjp
ki... Arnab Goswami is the most dirtiest blot of India...  
Bhainchod... Shouting like a mad dog with four other dogs in ur show doesn't
make u patriot....  
Loudey u r just a pimp cum anchor.... U coward if u have guts then go out n
take the interview of the students who r protesting....  
Inviting four to five bhakts every night n vomits ur shits from ur mouth
doesn't make u journalist",GEN
When will I see your sexy video?,GEN
"it's not that big deal ... grow up and let them enjoy ... and let them live
tgeir life as well ... homosexuality is not a problm its just a bit not so
normal .. but its acceptable guyzzz ...stop Being narrow minded ...",GEN
"See the rotten face arundhati roy with Stinking ideas spreading odour all
around. Even pig look beautiful than this aged sow.",GEN
Wtf,GEN
f*** y** AG,GEN
"Lol....gaav walo Jaisi shakal walo se puchoge what can you expect ....they
can't see beyond their black penises...!!",GEN
conservatives fuck you all,GEN
What f... K 377,GEN
Madarchod ...army is not a kids playground,GEN
"who in their right mind likes another man's defecation whole that is
disgusting if you're gay smell your hand after you take a dump and tell me
that's what you love sick fucks",GEN
No one is gay physically. They are mentally created by western,GEN
"she was sleeping with ranga and billa and that swara baskhar was fingerring
herself watching her😂😂😂",GEN
"👍the thing on feminism is true coz...though being a girl I can feel that the
motive of feminism is more than to form a reverse world ..not any equality
...ki if boys rape ..we will too do same except fir literal ""equality""",GEN
"@Rishita Pandey that's the real face of you
bi#""[#ch](http://www.youtube.com/results?search_query=%23ch)...sorry i used
that word but you deserve it. your funda is clear, if someone has different
point of view then start abusing. and yes for chu""#""""yas like you 🖕",GEN
"This mentally ill Lady is a barking Street dog whose intentions to pull
people's attention that she is alive",GEN
Arundhati Roy is a sex crazed woman who is just a Despo.,GEN
"Finally, i can legally call indians gay",GEN
Open bob and vagane,GEN
"All most all movies promote feminazism. Even in English movies. Movies have
become indoctrination tools to hypnotize masses to become slave to women.
These are unhealthy and destructive addiction",GEN
Nice video,GEN
"Arundhati Kutiya not lesbian, she is being well fu**led by mollas but that
Kasturi looks more like a Hijra",GEN
"She never had a good parents. The got divorced when she was under 5 years of
age. This will tell what sort of lady was she the foxy face. She is third
rate, stupid educated illiterate lady.",GEN
"I think we should first gather the interested people (Homosexuals) make a
group of 100 and train them for 1 year so that we can have correct knowledge
of there physical and mental power and if majority of them achieve success in
this process then we can give green signal to them to join forces",GEN
"Sucharita is saying its a bad muv so now it's a must watch film 😁😁😁😁😁 take
this sucharita randi🖕🖕🖕🖕🖕🖕",GEN
"Great. bitch and her family deserved it. expecting more of these incidents in
coming days.",GEN
"That guy at [3:46](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=3m46s) and
that jhaat guy should go fuck each other.",GEN
"@Abinash Sarma I DON'T LIKE LGBTQ AND I DON'T SUPPORT THEM  
THIS IS MY VIEW MY SPEECH  
I LIVE IN A DEMOCRACY  
SO I WANT TO MAKE THESE PEOPLE TO LEAVE THE COUNTRY  
  
  
BLOODY IDIOTS",GEN
"Homosexuality is a type of mental disturbance.they have right to do anything
but army is not a joke they have some diffrent rituals",GEN
"Feminists are characterless inhuman insane creatures who don’t deserve in
society.",GEN
"Oh really??? So u think this madarchod Kabir Singh is true portrayal of
student life in India???  
Watch Kota Factory to see what's student life in India.",GEN
"Mere Desh ki ladki aur aurton par proud feel ho Raha hain. Whereas , the same
homophobic men watch our penises and cruise around at public toilets . Get
over it - homophobes are closet gays in denial.",GEN
Homosexuality is against nature. Thats all!,GEN
flawia egnis is a bitch,GEN
Perfect perfect perfect answer for those m.....fucker,GEN
"Arundhati Roy says her name : Arunchodi Joy to NPR to please her habitual
Rapists of Nehru mindset . Accused in jail are awaiting her early arrival .",GEN
"Rudra  
Calling her kutti is insult to bitches  
Arundhati is far wretched",GEN
"jitne wrong kah rhe hn wo sare bi sexual hn.because its prove that all
homophofic are always homosexual",GEN
Only here to dislike this randi,GEN
"India is officially now a ""gaandu"" country",GEN
"always remember this- anything which is remotely disrespectfull to women, ppl
like that thing bcuz thats what male ego is. They want to satisfy their own
ego and nothing else.",GEN
Wtf,GEN
"BRO MOVIE IS MOVIE.SEE AT AS A MOVIE.  
AND WE ONLY LIKE THIS MOVIE BECAUSE THE ACTING OF SHAHID WAS VERY GOOD.  
And people atleast got to know that they should not self harm for anyone.  
And atleast some struggle was there in movie that how people get so disastrous
after a break up.  
All girls are brainless creatures and Main story of every girl is they first
start loving a fuck boi who dont respect her at all and when he ditch her,they
openly say with their shitty mouth that all boys are same.  
Person who genuinly like krta h usse to vo banda intrest hi nhi marta.  
So in 14 -20 yr old nibbis and even nibbas are just mad.Stay away from
relation ship in these years coz there are rarely anyone who who know their
wants.  
Girls are mad.Stay away from them as much as possible.Dont follow them
blindly.Let them do whatever they want coz they even themselves dont know what
they want.They r fucking idiots.",GEN
Supreme Court aur journalist transgender see paida Hui hai lagta hai,GEN
"Good, ok homosexuality is legalised, but don't showcase in in by public, be
normal like every other human being, if you have to do, go together in a room.
But don't act like despo. In public it looks odd and ugly",GEN
"Not only she is alone doing but there are dozens of such anti-indian
presstitutes are repeatedly doing in some or the other way, but we Hindus just
prefer to sleep soundly even when there is national threat",GEN
Ranu Mandal is a bad and harami singer,GEN
"Third gender also act properly as compare to this type of addicted frustrated
people",GEN
"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
disturbing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This bitch (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are.",GEN
flawia egnis is a bitch,GEN
Fuck the leberal & feminist,GEN
"Arundhati can give her name as KUTTI. But can't suggest these names to illegal
immigrants mostly Muslims.",GEN
Arundati Roy is pagal kutia.,GEN
"Seems like arundhuti's mother lied to about her father also , I mean whom she
thinks her father 🤣",GEN
gay MF,GEN
Arundhati is an all time bi**h,GEN
Bastard librandus,GEN
We need mens in the army not gay,GEN
"Mamata , Arundhuti etc are born out of Surawardi Sperm he dropped to the wombs
many women on 16th Aug-1946 in Kolkata. In true sense they are really Bastards
/ Bitch-biologically they can't have a known father . We all know what
happened to him and imagine what is awaiting to Mamaata and Bitch Arundhati.",GEN
"jitne wrong kah rhe hn wo sare bi sexual hn.because its prove that all
homophofic are always homosexual",GEN
"Brother, one more question : Why do u think being homosexual or gay or lesbian
is not wrong ... is it because of their disabilities, or because of their
choice or something else.",GEN
"Honestly who made this bisexual sucharita a fucking critic she is just so
fucking annoying",GEN
"In Indian army.... I will say in any army of the world the backbone, the
foundation of military or army is ""Discipline, Honour, Valour, love for
Motherland and Humanity, Courage to accomplish impossible task and many more
hard works""..... These are the things which is foundation of Indian armed
forces or foundation of any best militaries around the world, talking about
Gays or lesbians..... Just look at history in ancient time very few or
negligible number of women take part in army but time changed we are in 2019
and women are serving in military so Now Gays and lesbians recruitment in
military then military is well aware about the developments to be done
according to need and time and I think in future military will induct Gays and
lesbians in armed forces but now Indian army chief said we will not allow Gays
and lesbians in army then he is 100% correct and I support army chief,
patriotism is not just needed on borders for military only but inside the
country also we need a lot of patriots for bright future of country.",GEN
feminist is cancer,GEN
"Govt official take census at arundhati Roy's house.. what is your name maam
..roy says- my name is cunning bitch.",GEN
@Eminent - pubg Mobile chutiya pubg pussy Indian spotted,GEN
"Stop it u bootlicker of bjp... Bhainchod aur kitna chaaatogey tum log bjp
ki... Arnab Goswami is the most dirtiest blot of India...  
Bhainchod... Shouting like a mad dog with four other dogs in ur show doesn't
make u patriot....  
Loudey u r just a pimp cum anchor.... U coward if u have guts then go out n
take the interview of the students who r protesting....  
Inviting four to five bhakts every night n vomits ur shits from ur mouth
doesn't make u journalist",GEN
"indains generation would be the next lgbd birth beouse all the indains boys
eagerly supporting same sex ...yes that is diffrent thing that if someone's
family has found a naturally birth so then let it be that one but supportining
lgbt is the unatural thing which is not allowed in any religion hiduism
christenity islamicsim etc .....",GEN
bitches spoil a men life,GEN
"I WONT SETTLE FOR JUST IN LAWS. IF I HAVE TO MURDER ...I WILL TAKE THE ENTIRE
GANG OF B I T C H E S . INDIA'S B I T C H E S : RAANDI INDIRA JAISINGH RENUKA
RAANDI CHOWDHARY BRINDA KARAT GIRIJA VYAS RANJANA KUMARI SONAI RAANDI GAANDHI
....LIST GOES ON. I will keep killing ..TILL THERE IS NO CONGRESS CPI CPIM ETC
BASTARD LEFT ALIVE",GEN
"PHOENIX- FROM NOW EVERY FEMALE WILL BE LESBIAN AND EVERY MALE WILL BE GAY.
JUST THINK UNIVERSE HAS LAUNCHED THIS SYSTEM THAT MALE-FEMALE MARRIAGE WILL BE
ILLEGALIZED AND GAY MARRIAGE WILL BE LEGALIZED...THIS IS THE NEWEST SYSTEM OF
OUR GALAXY AND THIS VIRGO SUPERCLUSTER (COLLECTION OF 54 DIFFERENT GALAXIES
INCLUDING MILKY WAY). NO SEXUAL CRIME LIKE RAPE OR IVTIZING WILL OCCUR IN THIS
NEWEST SYSTEM... I WISH ALL THE BEST TO EVERY PERSON OF THIS PLANET.",GEN
so now boys will also be raped in India😂??,GEN
"well done Jahangir, the Bitch deserved it!! You did good thing by leaving the
Bitch alive, she should know what is the pain for loosing parents. Bravo!!!",GEN
"Homosexual as I saw in buses and movies.... Clapping and dancing. Its not for
Army. Army represent our country and I m with General Sir.",GEN
f*** y** AG,GEN
"how do u tolerate those bastards who thought that homosexuality is like a
disease and it comes from western country?? I felt like slapping them ...
Still we are so ignorant that we don't know that reason behind being a
homosexual. Great works guys, waiting for the reactions from other metro
cities like Mumbai, Kolkata, Bangalore and others..",GEN
Budhdhi randy would be good too,GEN
**shut up you feminist bitch**,GEN
"Even a degraded PROSTITUDE has a better charecter then this scunk Arundhadi
Roy. The safest place for Indians is to put this scunk behind high security
PRISON.",GEN
"Fuck boy: चोदू लड़का।  
😂😂😂",GEN
"She never had a good parents. The got divorced when she was under 5 years of
age. This will tell what sort of lady was she the foxy face. She is third
rate, stupid educated illiterate lady.",GEN
Her name is kingfish kutiya,GEN
Perfect perfect perfect answer for those m.....fucker,GEN
She is a dangerous element for our country'.kindly expose her.,GEN
"Arundhati Roy is a pros* ***** of ISI Pakistani generals and Hafiz Sayeed...
she's getting well paid...",GEN
Feminist are mc,GEN
She is randi,GEN
"There should be MIlitary rule,Well done Delhi/UP police Shoot all the bastard
antiNational urban naxals ,students,Media like NDTV,The Wire and congress like
in china and Pakistan,Innocent people are killed bcoz of bastard NDTV,the
Wire,Scroll",GEN
Homosexuality is ban,GEN
The way you say chutiya bc🤣🤣💯,GEN
"I THINK ONLY GAYS AND LESBIANS ARE LEGAL. NOW RULE OF U N I V E R S E HAS BEEN
CHANGED. NOW MALE AND FEMALE RELATIONSHIP IS ILLEGAL. NOW U N I V E R S E
SAYS."" ON THIS PLANET THIS NEW SYSTEM HAS BEEN LAUNCHED""...NO SEXUAL CRIME
LIKE RAPE WILL OCCUR IN THIS NEW SYSTEM...EVERY GAY AND EVERY LESBIAN WILL
ENJOY THEIR SEX LIFE...LIKE KISSING.",GEN
The realm Of homosexual group can benefit all the regiment...,GEN
"👍the thing on feminism is true coz...though being a girl I can feel that the
motive of feminism is more than to form a reverse world ..not any equality
...ki if boys rape ..we will too do same except fir literal ""equality""",GEN
Fack bong guy,GEN
"Tht uncle who is shown at
[0:52](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=0m52s) looks like those
uncle pedo's who fucks lil boys from his family.",GEN
"The process can be tested by taking them in army and recording their
activities which data can be further used for the study on effect of
homosexuality on army efficiency.",GEN
"Arundhati Roy says her name : Arunchodi Joy to NPR to please her habitual
Rapists of Nehru mindset . Accused in jail are awaiting her early arrival .",GEN
"Arundhati Roy says her name : Arunchodi Joy to NPR to please her habitual
Rapists of Nehru mindset . Accused in jail are awaiting her early arrival .",GEN
"U either born as a boy or girl....U can think whatever u want but u can't
change the basic structure of human body....A man can't be a woman & a woman
can't be a man....U can join army as a man or woman....There is no need of
gays in army.....It comes from western culture.....I don't hear about any god
or hero in the indian culture who is homosexual.....I don't know when & from
where it comes to india.....",GEN
"Sucharita is saying its a bad muv so now it's a must watch film 😁😁😁😁😁 take
this sucharita randi🖕🖕🖕🖕🖕🖕",GEN
Homosexuality is against nature. Thats all!,GEN
Wtf,GEN
"There is a saying,two pair of breasts connot be in the same room.",GEN
Arundhati Roy is a sex crazed woman who is just a Despo.,GEN
conservatives fuck you all,GEN
Ranu is fucker frod,GEN
"No hope for the cigarette smoking whore. Might as well just get mashed under a
truck. And that other guy should be burnt alive along with the whore that
caused his life!",GEN
"Who the fuck told that stupid asshole that LGBT is not our culture???????????  
It was always our culture! Go read the VEDAS! IT didn't come from outside of
India. It was Just banned by a Jerk of King in Britain in some 15th century
and the only thing happened in western culture was that they removed the law
and accepted it earlier than us, who here are not even ready to talk about the
topic!!  
They first brought the law and they first removed the law! But the people in
our country don't even know what's our culture! BC MC SAALE!!!!!!!!!!!!",GEN
"Indian army require mentally and physically strong person .... gay are not
mentally fit...",GEN
Keep away from that mad aunty.,GEN
Is she really a girl or transgender,GEN
"Let AR use her name as range & billa and fill the same name when applying for
her Visa to any overseas countries  
Why our govt is napunsak and not revoke her passport/visa or even arrest her",GEN
"She looks like a fox from a drought affected area............she is bitch not
brought up by a good parents",GEN
"Mere Desh ki ladki aur aurton par proud feel ho Raha hain. Whereas , the same
homophobic men watch our penises and cruise around at public toilets . Get
over it - homophobes are closet gays in denial.",GEN
"PHOENIX- FROM NOW EVERY FEMALE WILL BE LESBIAN AND EVERY MALE WILL BE GAY.
JUST THINK UNIVERSE HAS LAUNCHED THIS SYSTEM THAT MALE-FEMALE MARRIAGE WILL BE
ILLEGALIZED AND GAY MARRIAGE WILL BE LEGALIZED...THIS IS THE NEWEST SYSTEM OF
OUR GALAXY AND THIS VIRGO SUPERCLUSTER (COLLECTION OF 54 DIFFERENT GALAXIES
INCLUDING MILKY WAY). NO SEXUAL CRIME LIKE RAPE OR IVTIZING WILL OCCUR IN THIS
NEWEST SYSTEM... I WISH ALL THE BEST TO EVERY PERSON OF THIS PLANET.",GEN
**shut up you feminist bitch**,GEN
"What's the name of that hot bearded guy ....his Insta ?......he's fucking hot
...I would like to be in Ur videos",GEN
"@Rishita Pandey that's the real face of you
bi#""[#ch](http://www.youtube.com/results?search_query=%23ch)...sorry i used
that word but you deserve it. your funda is clear, if someone has different
point of view then start abusing. and yes for chu""#""""yas like you 🖕",GEN
"Sucharita is saying its a bad muv so now it's a must watch film 😁😁😁😁😁 take
this sucharita randi🖕🖕🖕🖕🖕🖕",GEN
**shut up you feminist bitch**,GEN
"Stop it u bootlicker of bjp... Bhainchod aur kitna chaaatogey tum log bjp
ki... Arnab Goswami is the most dirtiest blot of India...  
Bhainchod... Shouting like a mad dog with four other dogs in ur show doesn't
make u patriot....  
Loudey u r just a pimp cum anchor.... U coward if u have guts then go out n
take the interview of the students who r protesting....  
Inviting four to five bhakts every night n vomits ur shits from ur mouth
doesn't make u journalist",GEN
"how do u tolerate those bastards who thought that homosexuality is like a
disease and it comes from western country?? I felt like slapping them ...
Still we are so ignorant that we don't know that reason behind being a
homosexual. Great works guys, waiting for the reactions from other metro
cities like Mumbai, Kolkata, Bangalore and others..",GEN
"@jacky ju IF YOU WILL TAKE 5 ML TESTOSTERONE HORMONE INJECTION AND NOT FIND A
FEMALE YOU CAN EVEN FUCK A DOG",GEN
"Always have debate on chutiya topics... Discussing with some more chutiyaas
... U don't have basic understanding... U show ur lack of understanding evey
night...  
Ek randi khana kyun nai khol lete tum raand log...",GEN
That bastard Haryanvis😠😠😠,GEN
I love u sakib but opu sotiya,GEN
"All theatres screening Kabir Singh should display a warning - Dogs and
Feminists not allowed 😂😂",GEN
@Vidya Harish Bhandary She is a failed soft porn actress from the south,GEN
"xyz, you are also a Kung Fu kutta..😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",GEN
"you said everything right about them Feminsts will love when woman are
sexoholic , one night stand lovers . And who abuse MC , BC , drink alcohol .
Like four more shots n veere di wedding .",GEN
"@parul singh It's not true.... but yeah... due to too much indecency of women
in society and the way media using them as an object or piece of meat to
seduce men, many men also are running behind these girls to lick them... at
least you are not their target... but those men who became monster watching
this nudity and lost control over themselves, you can be target for them....  
  
  
Each fuckbois do not see whether you are simple girl or bold... they just
wants your body....  
  
  
So, take care....  
  
  
Values of women and respect for them are getting down day by day... In future,
may be maximum men would became fuckbois just because of this obscenities all
around....  
  
  
Today, it's hard to find a genuine girl or boy....",GEN
Actually she was a prostitute before being a singer.,GEN
arreste that kung fu kutti,GEN
BC chutiye h Liberals & pesudo feminisits,GEN
"In Indian army.... I will say in any army of the world the backbone, the
foundation of military or army is ""Discipline, Honour, Valour, love for
Motherland and Humanity, Courage to accomplish impossible task and many more
hard works""..... These are the things which is foundation of Indian armed
forces or foundation of any best militaries around the world, talking about
Gays or lesbians..... Just look at history in ancient time very few or
negligible number of women take part in army but time changed we are in 2019
and women are serving in military so Now Gays and lesbians recruitment in
military then military is well aware about the developments to be done
according to need and time and I think in future military will induct Gays and
lesbians in armed forces but now Indian army chief said we will not allow Gays
and lesbians in army then he is 100% correct and I support army chief,
patriotism is not just needed on borders for military only but inside the
country also we need a lot of patriots for bright future of country.",GEN
Best name for Chutiya Anrudita would be MC-BC.,GEN
"god bless jhangir , bahut badiya kiya , this is the result of injustice and
the bastard indian bitches should realise this",GEN
Fuck yourself Feminism,GEN
Saw the. Entire review and she is gandu feminist,GEN
f*** y** AG,GEN
Open bob and vagane,GEN
raveesh stop being a feminist bitch,GEN
gay MF,GEN
raveesh stop being a feminist bitch,GEN
"3 case can happen, (a) if gay is that high rank officers then new people can
be forcely asked for sex for promotion, leave , transfer , financial or other
benefit, (2) if everybody know that someone is gay , their group will
discriminate him or normal friend of him can be seen the same way, and other
group will make fun of that group. Indians are not so mature enough to deal
with that situation are generally countryside people join defennce that is
ugly truth. (C) gAy couple will have emotional attachment and will never take
harsh step in critical condition, they will not have same aggression they will
become defensive they will be interested in long living with their partners.",GEN
She really have Randy look.,GEN
Sexy boy munna 01831572786,GEN
this girl should be raped!,GEN
"She has lied before, she is lying now and she will be lying before. All for
dollars, a sex worker is better than this female, atleast she doesn't disguise
and camouflage. Shame on this.scum bag.",GEN
"PHOENIX- FROM NOW EVERY FEMALE WILL BE LESBIAN AND EVERY MALE WILL BE GAY.
JUST THINK UNIVERSE HAS LAUNCHED THIS SYSTEM THAT MALE-FEMALE MARRIAGE WILL BE
ILLEGALIZED AND GAY MARRIAGE WILL BE LEGALIZED...THIS IS THE NEWEST SYSTEM OF
OUR GALAXY AND THIS VIRGO SUPERCLUSTER (COLLECTION OF 54 DIFFERENT GALAXIES
INCLUDING MILKY WAY). NO SEXUAL CRIME LIKE RAPE OR IVTIZING WILL OCCUR IN THIS
NEWEST SYSTEM... I WISH ALL THE BEST TO EVERY PERSON OF THIS PLANET.",GEN
"All theatres screening Kabir Singh should display a warning - Dogs and
Feminists not allowed 😂😂",GEN
"All theatres screening Kabir Singh should display a warning - Dogs and
Feminists not allowed 😂😂",GEN
"Very good... throw out these homosexuals out of India... bloody rouge.. bloody
SC deteriorating Indian culture... bann the SC first... bloody old gay
judges...",GEN
"Any man who's like the hot bearded toppr guy then plees contact me on
7045495339, im as sexxi as the botm guy here. Im based alone in mumbai, so all
hot toppr mrds, pleees call, cm n meet me. Luvvv yu all. 😍 😍",GEN
"Homosexuality is prohibited in almost every major religion. So we should not
follow western culture(even banned in Christianity).  
Our creator, the Almighty has made our metabolism in such a way that we can
only get attracted or do marrige from our opposite sex person. So a big
misconception is cleared here that homosexuality comes from our ancestor's
genes. Earlier there was a hypothesis by a scientist who said that it may be
genetic but later on it was discovered that the scientist himself was a
gay(psychologically not genetically). When people break the laws of
nature(like having sex with multiple persons of their opposite sex) their mind
later gets diverted to people of their own gender(like in western countries
earlier, there were so called mistresses 10 or 15 for a single man) who
fulfill the needs of wives for him alone. So, its our fault that we had
multiple relationships which made us psychologically so ill that we started
getting intrest in our own gender people also. God never made us like this nor
he will. We are breaking the rules of nature. It is also scientically proven
that having a single partner and enjoying a sex life with him/her throughout
your life rather than being a playboy or playgirl(sorry for the words) make us
a better human being in terms of both gender and obeying God's commandments.
So homosexuality is a sin in almost every religion and we should not legal it
in India. We should teach our future generations to have respect for their
opposite gender person(especially to boys) so that they do not develop a
mindset that girls are made for having fun(this will harm that boy
psychologically later), he may start finding intrest in his male friends just
to complete his fantasies. Same apply for girls. We should get bounded to the
rules made by nature and find a single life partner for us whom we can persue
our sexual and spiritual life.  
At last I would complete my stand by saying that God says us to follow the
Truth rather than to follow people who speak that homosexuality should be
legal in India on behalf of their democracy. Nothing is bigger than the Nature
given laws and the Truth of life.  
Peace ✌",GEN
"Homosexuals should never be allowed in the army.... It will damage the decorum
of the army....",GEN
"indains generation would be the next lgbd birth beouse all the indains boys
eagerly supporting same sex ...yes that is diffrent thing that if someone's
family has found a naturally birth so then let it be that one but supportining
lgbt is the unatural thing which is not allowed in any religion hiduism
christenity islamicsim etc .....",GEN
